# Analysis of Andre Burnham's study of Colony success due to Queen origin,,,,,,,,,,,,,,,,,
# P. Alexander Burnham,,,,,,,,,,,,,,,,,
# 10 Aug 2016,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Metadata ,,,,,,,,,,,,,,,,,
# Author: P. Alexander Burnham,,,,,,,,,,,,,,,,,
# Date: 10 August 2016,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Data Set: These data were collected in 2016 in New York state by Andre Burnham and the Hamilton College bee research team from two yards in NY owned by one beekeeper who volunteered for the study.,,,,,,,,,,,,,,,,,
# Data Source: 2016 Hamilton Bee Research Project,,,,,,,,,,,,,,,,,
# Funding Source: Hamilton College undergraduate research grants,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Data Collection: Weights of colonies were obtained by summing the weights of individual hive bodies and supers for each colony at each yard (add more about protocols for other assays).,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# # Columns: (from left to right) FieldID: Id including number location and treatment, Time: Generic Time Steps (T1-T5), Origin (California and Local), Yard (1 or 2),Nosema (spores per bee) only three time steps,Varroa (mites per 300 bees),Brood (frames of brood in colony),NosemaPA (binary data for nosema),VarroaPA (binary data for mites),MassDay(days after requeening for mass),NosemaDay days after requeening for nosema),VarroaDay days after requeening for varroa),BroodDay days after requeening for brood),MassDate (dates sampled),NosemaDate(dates sampled),VarroaDate(dates sampled),BroodDate (dates sampled)
# Rows: Data points for all columns in order from each collection event,,,,,,,,,,,,,,,,,
# Missing values: NA,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
FieldID,Time,Origin,Yard,Mass,Nosema,Varroa,Brood,NosemaPA,VarroaPA,MassDay,NosemaDay,VarroaDay,BroodDay,MassDate,NosemaDate,VarroaDate,BroodDate
Y2C8,T1,California,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C9,T1,California,Yard2,NA,NA,NA,3,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C10,T1,California,Yard2,NA,NA,NA,3,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L1,T2,Local,Yard1,28.4,925000,7,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L2,T2,Local,Yard1,21.2,850000,2,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L3,T2,Local,Yard1,24.2,100000,8,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L4,T2,Local,Yard1,22.4,3450000,2,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L5,T2,Local,Yard1,31.6,750000,8,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L6,T2,Local,Yard1,21.6,1575000,7,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L7,T2,Local,Yard1,21.4,1100000,2,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L8,T2,Local,Yard1,23.8,1600000,7,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L9,T2,Local,Yard1,26.8,1925000,12,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L10,T2,Local,Yard1,20.8,1675000,8,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L1,T2,Local,Yard2,20,25000,11,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L2,T2,Local,Yard2,27,1450000,9,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L3,T2,Local,Yard2,27.4,10075000,2,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L4,T2,Local,Yard2,33,1750000,7,6,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L5,T2,Local,Yard2,26.6,2175000,17,7,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L6,T2,Local,Yard2,21.4,75000,2,3,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L7,T2,Local,Yard2,19.6,175000,9,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L8,T2,Local,Yard2,34,275000,2,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L9,T2,Local,Yard2,25.8,3350000,7,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2L10,T2,Local,Yard2,27.2,0,19,4,0,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C1,T2,California,Yard1,26.2,1475000,3,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C2,T2,California,Yard1,29.8,425000,27,3,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C3,T2,California,Yard1,14.2,150000,NA,2,1,NA,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C4,T2,California,Yard1,27.8,25000,7,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C5,T2,California,Yard1,22,725000,4,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C6,T2,California,Yard1,28.6,3475000,1,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C7,T2,California,Yard1,21.8,375000,4,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C8,T2,California,Yard1,25.6,6750000,7,3,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C9,T2,California,Yard1,15.8,1475000,8,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1C10,T2,California,Yard1,15.8,25000,5,3,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C1,T2,California,Yard2,32,25000,19,3,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C2,T2,California,Yard2,20.8,750000,6,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C3,T2,California,Yard2,23.8,975000,36,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C4,T2,California,Yard2,16.6,1300000,11,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C5,T2,California,Yard2,29.2,NA,NA,NA,NA,NA,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C6,T2,California,Yard2,26.2,25000,6,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C7,T2,California,Yard2,22.8,775000,4,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C8,T2,California,Yard2,23.8,625000,12,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C9,T2,California,Yard2,19.8,3050000,1,2,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y2C10,T2,California,Yard2,26,1675000,10,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L1,T3,Local,Yard1,39,NA,1,3,NA,1,34,NA,24,24,7/7/16,NA,6/27/16,6/27/16
Y1L2,T3,Local,Yard1,21,NA,0,2,NA,0,34,NA,24,24,7/7/16,NA,6/27/16,6/27/16
